Postal Code,Borough,Neighbourhood,Latitude,Longitude
M6K,West Toronto,"Brockton\n, Exhibition Place\n, Parkdale Villa...",43.6368472,-79.42819140000002
M6L,North York,"Maple Leaf Park\n,      North Park\n,     Upwo...",43.713756200000006,-79.4900738
M6M,York,"Del Ray\n,    Keelsdale\n, Mount Dennis\n,  Si...",43.6911158,-79.47601329999999
M6N,York,"The Junction North\n,          Runnymede\n",43.67318529999999,-79.48726190000001
M6P,West Toronto,"High Park\n, The Junction South\n",43.6616083,-79.46476329999999
M6R,West Toronto,"Parkdale\n, Roncesvalles\n",43.6489597,-79.456325
M6S,West Toronto,"Runnymede\n,   Swansea\n",43.6515706,-79.4844499
M7R,Mississauga,Canada Post Gateway Processing Centre\n,43.6369656,-79.61581899999999
M7Y,East Toronto,Business reply mail Processing Centre969 Easte...,43.6627439,-79.321558
M8V,Etobicoke,"Humber Bay Shores\n,      Mimico South\n,     ...",43.6056466,-79.50132070000001
M8W,Etobicoke,"Alderwood\n, Long Branch\n",43.60241370000001,-79.54348409999999
M8X,Etobicoke,"The Kingsway\n, Montgomery Road\n,  Old Mill N...",43.653653600000005,-79.5069436
M8Y,Etobicoke,"Humber Bay\n,         King's Mill Park\n, King...",43.6362579,-79.49850909999999
M8Z,Etobicoke,"Kingsway Park South West\n,                Mim...",43.6288408,-79.52099940000001
M9A,Etobicoke,Islington Avenue\n,43.6678556,-79.53224240000002
M9B,Etobicoke,"Cloverdale\n,        Islington\n,     Martin G...",43.6509432,-79.55472440000001
M9C,Etobicoke,"Bloordale Gardens\n,          Eringate\n,     ...",43.6435152,-79.57720079999999
M9L,North York,Humber Summit\n,43.7563033,-79.56596329999999
M9M,North York,"Emery\n, Humberlea\n",43.7247659,-79.53224240000002
M9N,York,Weston\n,43.706876,-79.51818840000001
M9P,Etobicoke,Westmount\n,43.696319,-79.53224240000002
M9R,Etobicoke,"Kingsview Village\n, Martin Grove Gardens\n,  ...",43.6889054,-79.55472440000001
M9V,Etobicoke,"Albion Gardens\n, Beaumond Heights\n,       Hu...",43.739416399999996,-79.5884369
M9W,Etobicoke,Northwest\n,43.706748299999994,-79.5940544
